date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:57	2022/2022	---M--	200	added ('OK')	image/png	etag:%2256e8cb0d-7e6%22	http://125.209.199.43/wp-content/themes/kallyas/images/ok.png	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/images/ok.png	(from http://125.209.199.43/)
13:46:02	53184/53184	---M--	200	added ('OK')	image/jpeg	etag:%2256e9510c-cfc0%22	http://125.209.199.43/wp-content/uploads/2016/03/haenyeo3copy-270x270.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/haenyeo3copy-270x270.jpg	(from http://125.209.199.43/)
13:46:19	97120/97120	---M--	200	added ('OK')	image/jpeg	etag:%2256ea59d7-17b60%22	http://125.209.199.43/wp-content/uploads/2016/03/product05.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/product05.jpg	(from http://125.209.199.43/)
13:46:21	38721/38721	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:46:20%20GMT	http://125.209.199.43/?page_id=1775	/home/kimhongsu/websites/haenyeo/125.209.199.43/index917e.html	(from http://125.209.199.43/)
13:46:21	145810/145810	---M--	200	added ('OK')	image/jpeg	etag:%2256ea55dc-23992%22	http://125.209.199.43/wp-content/uploads/2016/03/product01.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/product01.jpg	(from http://125.209.199.43/)
13:46:48	167009/167009	---M--	200	added ('OK')	image/jpeg	etag:%2256ea5738-28c61%22	http://125.209.199.43/wp-content/uploads/2016/03/product04.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/product04.jpg	(from http://125.209.199.43/)
13:46:49	166694/166694	---M--	200	added ('OK')	image/jpeg	etag:%2256ea5613-28b26%22	http://125.209.199.43/wp-content/uploads/2016/03/product03.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/product03.jpg	(from http://125.209.199.43/)
13:46:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202017%2005:46:50%20GMT	http://125.209.199.43/pinterest.com	/home/kimhongsu/websites/haenyeo/125.209.199.43/pinterest.29.delayed	(from http://125.209.199.43/)
13:46:54	25327/25327	---M--	200	added ('OK')	image/png	etag:%2256ea499c-62ef%22	http://125.209.199.43/wp-content/uploads/2016/03/soombi_logo-bk.png	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/soombi_logo-bk.png	(from http://125.209.199.43/)
13:46:57	47509/47509	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-b995%22	http://125.209.199.43/wp-content/themes/kallyas/js/plugins.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/js/plugins3a66.js	(from http://125.209.199.43/)
13:46:59	6589/6589	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-19bd%22	http://125.209.199.43/wp-content/themes/kallyas/addons/smoothscroll/smoothscroll.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/addons/smoothscroll/smoothscroll3a66.js	(from http://125.209.199.43/)
13:47:03	86867/86867	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-15353%22	http://125.209.199.43/wp-content/themes/kallyas/js/znscript.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/js/znscript3a66.js	(from http://125.209.199.43/)
13:47:06	66733/66733	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-104ad%22	http://125.209.199.43/wp-content/themes/kallyas/addons/caroufredsel/jquery.carouFredSel-packed.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/addons/caroufredsel/jquery.carouFredSel-packed3a66.js	(from http://125.209.199.43/)
13:47:08	37378/37378	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-9202%22	http://125.209.199.43/wp-content/themes/kallyas/pagebuilder/elements/TH_IosSlider/assets/jquery.iosslider.min.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/pagebuilder/elements/TH_IosSlider/assets/jquery.iosslider.min3a66.js	(from http://125.209.199.43/)
13:47:09	5358/5358	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-14ee%22	http://125.209.199.43/wp-content/themes/kallyas/addons/scrollme/jquery.scrollme.min.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/addons/scrollme/jquery.scrollme.min3a66.js	(from http://125.209.199.43/)
13:47:10	6114/6114	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-17e2%22	http://125.209.199.43/wp-content/themes/kallyas/addons/parallax.js/parallax.min.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/addons/parallax.js/parallax.min3a66.js	(from http://125.209.199.43/)
13:47:12	6846/6846	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-1abe%22	http://125.209.199.43/wp-content/themes/kallyas/pagebuilder/elements/google_map/assets/gmaps.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/pagebuilder/elements/google_map/assets/gmaps3a66.js	(from http://125.209.199.43/)
13:47:13	1403/1403	---MCZ	200	added ('OK')	application/javascript	etag:W/%22572cee6d-57b%22	http://125.209.199.43/wp-includes/js/wp-embed.min.js?ver=4.5.6	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-includes/js/wp-embed.min62df.js	(from http://125.209.199.43/)
13:47:14	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Feb%202017%2005:47:14%20GMT	http://kallyas.net/demos/wp-content/uploads/2015/08/map-marker.png	/home/kimhongsu/websites/haenyeo/kallyas.net/demos/wp-content/uploads/2015/08/map-marker.34.delayed	(from http://125.209.199.43/)
13:47:16	65902/65902	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:14%20GMT	http://125.209.199.43/pinterest.com/	/home/kimhongsu/websites/haenyeo/125.209.199.43/pinterest.com/index.html	(from http://125.209.199.43/)
13:47:17	25/25	---M--	200	added ('OK')	text/plain	etag:%224e536a-19-3ef0a6a1b08c0%22	http://gmpg.org/robots.txt		(from http://125.209.199.43/)
13:47:18	2067/2067	---M--	200	added ('OK')	text/css	etag:%225a6f7b-813-3ef0a663b3680%22	http://gmpg.org/xfn/default.css	/home/kimhongsu/websites/haenyeo/gmpg.org/xfn/default.css	(from http://gmpg.org/xfn/11)
13:47:19	4170/4170	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:17%20GMT	http://gmpg.org/xfn/.	/home/kimhongsu/websites/haenyeo/gmpg.org/xfn/.html	(from http://gmpg.org/xfn/11)
13:47:23	16269/16269	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:18%20GMT	http://gmpg.org/xfn/intro	/home/kimhongsu/websites/haenyeo/gmpg.org/xfn/intro.html	(from http://gmpg.org/xfn/11)
13:47:27	7342/7342	---MC-	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:23%20GMT	http://gmpg.org/xfn/faq	/home/kimhongsu/websites/haenyeo/gmpg.org/xfn/faq.html	(from http://gmpg.org/xfn/11)
13:47:29	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2012%20Feb%202017%2005:47:27%20GMT	http://fonts.googleapis.com/robots.txt		(from http://125.209.199.43/)
13:47:30	4482/4482	---M--	200	added ('OK')	image/png	etag:%2256e8cb31-1182%22	http://125.209.199.43/wp-content/uploads/2015/12/1920x1080-Kallyas.png	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2015/12/1920x1080-Kallyas.png	(from http://125.209.199.43/?page_id=1775)
13:47:30	2340/2340	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:30%20GMT	http://125.209.199.43/wp-login.php	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-login.html	(from http://125.209.199.43/?page_id=1775)
13:47:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202017%2005:47:30%20GMT	http://125.209.199.43/?p=1775	/home/kimhongsu/websites/haenyeo/125.209.199.43/index8951.html	(from http://125.209.199.43/?page_id=1775)
13:47:35	792459/792459	---M--	200	added ('OK')	image/jpeg	etag:%2256e8d6b0-c178b%22	http://125.209.199.43/wp-content/uploads/2016/03/18962129226_e2d2214708_o.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/18962129226_e2d2214708_o.jpg	(from http://125.209.199.43/)
13:47:35	2206/2206	---MCZ	200	added ('OK')	application/json	date:Sun,%2012%20Feb%202017%2005:47:31%20GMT	http://125.209.199.43/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F125.209.199.43%2F%3Fpage_id%3D1775	/home/kimhongsu/websites/haenyeo/125.209.199.43/index7264.html	(from http://125.209.199.43/?page_id=1775)
13:47:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202017%2005:47:35%20GMT	http://125.209.199.43/pinterest.com/pinterest.com	/home/kimhongsu/websites/haenyeo/125.209.199.43/pinterest.com/pinterest.3b.delayed	(from http://125.209.199.43/pinterest.com/)
13:47:35	2307/2307	---MCZ	200	added ('OK')	text/xml	date:Sun,%2012%20Feb%202017%2005:47:35%20GMT	http://125.209.199.43/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F125.209.199.43%2F%3Fpage_id%3D1775&format=xml	/home/kimhongsu/websites/haenyeo/125.209.199.43/index136d.html	(from http://125.209.199.43/?page_id=1775)
13:47:37	41076/41076	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:35%20GMT	http://125.209.199.43/?p=1	/home/kimhongsu/websites/haenyeo/125.209.199.43/indexcff1.html	(from http://125.209.199.43/?page_id=1775)
13:47:37	45416/45416	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:36%20GMT	http://125.209.199.43/?p=1000	/home/kimhongsu/websites/haenyeo/125.209.199.43/indexbb97.html	(from http://125.209.199.43/?page_id=1775)
13:47:38	46332/46332	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:37%20GMT	http://125.209.199.43/?p=263	/home/kimhongsu/websites/haenyeo/125.209.199.43/index8fee.html	(from http://125.209.199.43/?page_id=1775)
13:47:39	46421/46421	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:37%20GMT	http://125.209.199.43/?p=260	/home/kimhongsu/websites/haenyeo/125.209.199.43/index8e1b.html	(from http://125.209.199.43/?page_id=1775)
13:47:39	49182/49182	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:38%20GMT	http://125.209.199.43/?p=253	/home/kimhongsu/websites/haenyeo/125.209.199.43/index5ed0.html	(from http://125.209.199.43/?page_id=1775)
13:47:40	1665/1665	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20Jan%201984%2008:00:00%20GMT	http://2.gravatar.com/avatar/2633938948bb035d7e661b00a929cdc4?s=100&d=mm&r=g	/home/kimhongsu/websites/haenyeo/2.gravatar.com/avatar/2633938948bb035d7e661b00a929cdc4de35.png	(from http://125.209.199.43/?p=1)
13:47:40	36175/36175	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:39%20GMT	http://125.209.199.43/?m=201603	/home/kimhongsu/websites/haenyeo/125.209.199.43/indexc7fb.html	(from http://125.209.199.43/?page_id=1775)
13:47:40	700/700	---MCZ	200	added ('OK')	application/javascript	etag:W/%22578f26e6-2bc%22	http://125.209.199.43/wp-content/plugins/akismet/_inc/form.js?ver=3.1.11	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/plugins/akismet/_inc/form2d73.js	(from http://125.209.199.43/?p=1)
13:47:40	1078/1078	---MCZ	200	added ('OK')	application/javascript	etag:W/%22564cce50-436%22	http://125.209.199.43/wp-includes/js/comment-reply.min.js?ver=4.5.6	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-includes/js/comment-reply.min62df.js	(from http://125.209.199.43/?p=1)
13:47:41	61847/61847	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:40%20GMT	http://125.209.199.43/?m=201508	/home/kimhongsu/websites/haenyeo/125.209.199.43/index01b8.html	(from http://125.209.199.43/?page_id=1775)
13:47:41	1684/1684	---M--	200	added ('OK')	image/png	etag:%2256e8dfc1-694%22	http://125.209.199.43/wp-content/uploads/2015/12/1920x1080-Kallyas-420x280.png	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2015/12/1920x1080-Kallyas-420x280.png	(from http://125.209.199.43/?p=1000)
13:47:43	51311/51311	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:41%20GMT	http://125.209.199.43/?cat=2	/home/kimhongsu/websites/haenyeo/125.209.199.43/index3f7b.html	(from http://125.209.199.43/?page_id=1775)
13:47:52	940957/940957	---M--	200	added ('OK')	image/jpeg	etag:%2256e95b9e-e5b9d%22	http://125.209.199.43/wp-content/uploads/2016/03/9139607891_c0d5e6cb6f_o_1280.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/9139607891_c0d5e6cb6f_o_1280.jpg	(from http://125.209.199.43/)
13:47:52	1460/1460	---M--	200	added ('OK')	image/png	etag:%2256e8dfc1-5b4%22	http://125.209.199.43/wp-content/uploads/2015/12/1920x1080-Kallyas-370x240.png	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2015/12/1920x1080-Kallyas-370x240.png	(from http://125.209.199.43/?p=1000)
13:47:53	36072/36072	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:52%20GMT	http://125.209.199.43/?cat=3	/home/kimhongsu/websites/haenyeo/125.209.199.43/index81ea.html	(from http://125.209.199.43/?page_id=1775)
13:47:55	54741/54741	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:54%20GMT	http://125.209.199.43/?cat=4	/home/kimhongsu/websites/haenyeo/125.209.199.43/indexaa1e.html	(from http://125.209.199.43/?page_id=1775)
13:47:55	42093/42093	---MC-	200	added ('OK')	application/javascript	date:Sun,%2012%20Feb%202017%2005:47:44%20GMT	https://apis.google.com/js/plusone.js	/home/kimhongsu/websites/haenyeo/apis.google.com/js/plusone.js	(from http://125.209.199.43/?p=1000)
13:47:58	36425/36425	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:55%20GMT	http://125.209.199.43/?cat=1	/home/kimhongsu/websites/haenyeo/125.209.199.43/indexb31a.html	(from http://125.209.199.43/?page_id=1775)
13:47:58	65916/65916	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2005:47:55%20GMT	http://125.209.199.43/pinterest.com/pinterest.com/	/home/kimhongsu/websites/haenyeo/125.209.199.43/pinterest.com/pinterest.com/index.html	(from http://125.209.199.43/pinterest.com/)
